title_clean,year,grade
ROBIN HOOD,2018,B
ROBIN HOOD MEN IN TIGHTS,1993,B
ROBIN HOOD PRINCE OF THIEVES,1991,A
ROBOCOP,1987,A-
ROBOCOP,2014,B+
ROBOCOP 2,1990,B-
ROBOCOP 3,1993,B+
ROBOTS,2005,A
ROCK DOG,2017,B+
ROCK OF AGES,2012,B
ROCK STAR,2001,B-
ROCK THE KASBAH,2015,B-
"ROCK, THE",1996,A
"ROCKER, THE",2008,B+
"ROCKETEER, THE",1991,A-
ROCKETMAN,1997,B
ROCKETMAN,2019,A-
ROCKY 5,1990,A
ROCKY BALBOA,2006,B+
ROGUE ONE: A STAR WARS STORY,2016,A
ROLE MODELS,2008,A-
ROLLERBALL,2002,B-
"ROMAN J. ISRAEL, ESQ.",2017,B
ROMEO AND JULIET,1996,A-
ROMEO MUST DIE,2000,A-
ROMY AND MICHELE'S HIGH SCHOOL REUNION,1997,C
RONIN,1998,C+
"ROOKIE, THE",1990,B
ROOKIE OF THE YEAR,1993,A-
"ROOKIE, THE",2002,A
"ROOMMATE, THE",2011,B-
ROOMMATES,1995,A
ROSEWOOD,1997,A
ROUGH NIGHT,2017,C+
ROUNDERS,1998,B-
ROXANNE,1987,A
"ROYAL TENENBAUMS, THE",2001,C-
RUDY,1993,A
RUGRATS GO WILD,2003,A-
RUGRATS IN PARIS: THE MOVIE,2000,A-
"RUGRATS MOVIE, THE",1998,A-
"RUINS, THE",2008,D+
RULES DON'T APPLY,2016,B-
RULES OF ENGAGEMENT,2000,A-
"RUM DIARY, THE",2011,C
RUMOR HAS IT,2005,B
RUN,1991,B
RUN ALL NIGHT,2015,A-
RUNAWAY BRIDE,1999,A-
RUNAWAY JURY,2003,A-
"RUNDOWN, THE",2003,A-
RUNNER RUNNER,2013,C
"RUNNING MAN, THE",1987,B+
RUNNING ON EMPTY,1988,A
RUNNING SCARED,2006,B
RUNNING SCARED,1986,B+
RUNNING WITH SCISSORS,2006,C+
RUSH,1992,C+
RUSH,2013,A-
RUSH HOUR,1998,A
RUSH HOUR 2,2001,A
RUSH HOUR 3,2007,A-
RUSHMORE,1999,B
"RUSSIA HOUSE, THE",1990,B-
RUTHLESS PEOPLE,1986,A-
RV,2006,B+
S.W.A.T.,2003,B+
SABOTAGE,2014,B
SABRINA,1995,A-
SAFE,2012,B+
SAFE HAVEN,2013,B+
SAFE HOUSE,2012,A-
SAHARA,2005,B+
"SAINT, THE",1997,B+
SALT,2010,B+
SAN ANDREAS,2015,A-
SANCTUM,2011,C+
"SANDLOT, THE",1993,B+
"SANTA CLAUSE 2, THE",2002,A
"SANTA CLAUSE 3: THE ESCAPE CLAUSE, THE",2006,B+
"SANTA CLAUSE, THE",1994,A-
SARAFINA,1992,B
SAUSAGE PARTY,2016,B
SAVAGES,2012,C+
SAVE THE LAST DANCE,2001,A-
SAVING GRACE,2000,A-
SAVING MR. BANKS,2013,A
SAVING PRIVATE RYAN,1998,A
SAVING SILVERMAN,2001,C+
SAW,2004,C+
SAW 3D: THE FINAL CHAPTER,2010,B-
SAW II,2005,B+
SAW III,2006,B
SAW IV,2007,B
SAW V,2008,C
SAW VI,2009,B
SAY ANYTHING,1989,B+
SAY IT ISN'T SO,2001,D+
"SCARLET LETTER, THE",1995,B
SCARY MOVIE,2000,B-
SCARY MOVIE 3,2003,B
SCARY MOVIE 4,2006,C+
SCARY MOVIE 5,2013,C-
SCARY MOVIE II,2001,B
SCENES FROM A MALL,1991,C-
SCENT OF A WOMAN,1992,A
SCHINDLER'S LIST,1993,A+
SCHOOL FOR SCOUNDRELS,2006,B-
"SCHOOL OF ROCK, THE",2003,A-
SCHOOL TIES,1992,A-
SCOOBY DOO 2: MONSTERS UNLEASHED,2004,A-
SCOOBY-DOO,2002,B+
"SCORE, THE",2001,B
"SCORPION KING, THE",2002,B
SCOTT PILGRIM VS. THE WORLD,2010,A-
"SCOUT, THE",1994,B
SCOUTS GUIDE TO THE ZOMBIE APOCALYPSE,2015,B-
SCREAM 2,1997,B+
SCREAM 3,2000,B
SCREAM 4,2011,B-
SCREWED,2000,C
SCROOGED,1988,B+
SEA OF LOVE,1989,A-
SEABISCUIT,2003,A
SEARCHING FOR BOBBY FISCHER,1993,A
SEASON OF THE WITCH,2011,C+
SECOND ACT,2018,B+
"SECOND BEST EXOTIC MARIGOLD HOTEL, THE",2015,B+
SECONDHAND LIONS,2003,A
"SECRET GARDEN, THE",1993,A
"SECRET IN THEIR EYES, THE",2015,B-
"SECRET LIFE OF BEES, THE",2008,A
"SECRET LIFE OF PETS 2, THE",2019,A-
"SECRET LIFE OF PETS, THE",2016,A-
"SECRET LIFE OF WALTER MITTY, THE",2013,B+
"SECRET OF MY SUCCESS, THE",1987,B+
SECRET WINDOW,2004,C+
"SECRET WORLD OF ARRIETTY, THE",2012,A-
SECRETARIAT,2010,A
SECRETS AND LIES,1996,A-
SEE NO EVIL,2006,B-
SEE NO EVIL HEAR NO EVIL,1989,B+
SEE SPOT RUN,2001,A-
SEE YOU IN THE MORNING,1989,B+
SEED OF CHUCKY,2004,C+
"SEEKER: THE DARK IS RISING, THE",2007,B+
SEEKING A FRIEND FOR THE END OF THE WORLD,2012,C+
SELENA,1997,A
SELF/LESS,2015,B+
SELMA,2015,A+
SEMI-PRO,2008,B-
SENSE AND SENSIBILITY,1995,A
SENSELESS,1998,B+
"SENTINEL, THE",2006,B
SERENDIPITY,2001,B+
SERENITY,2005,A
SERENITY,2019,D+
SERVING SARA,2002,C+
SET IT OFF,1996,A
SEVEN,1995,B
SEVEN POUNDS,2008,B+
SEVEN YEARS IN TIBET,1997,A-
"SEVENTH SIGN, THE",1988,B
SEVENTH SON,2015,B-
SEX AND THE CITY 2,2010,B+
SEX AND THE CITY: THE MOVIE,2008,A
SEX TAPE,2014,C+
SGT. BILKO,1996,B+
SGT. STUBBY: AN AMERICAN HERO,2018,A
"SHACK, THE",2017,A
"SHADOW CONSPIRACY, THE",1997,B
"SHADOW, THE",1994,B
SHADOWS AND FOG,1992,B-
SHAFT,2000,A-
SHAFT,2019,A
"SHAGGY DOG, THE",2006,B+
SHAKEDOWN,1988,C+
SHAKESPEARE IN LOVE,1998,A
SHALL WE DANCE?,2004,A
SHALLOW HAL,2001,C+
"SHALLOWS, THE",2016,B+
SHANGHAI KNIGHTS,2003,B+
SHANGHAI NOON,2000,A-
SHANGHAI SURPRISE,1986,D+
SHARK NIGHT 3D,2011,C
SHARK TALE,2004,A-
SHATTERED,1991,B+
SHAUN THE SHEEP MOVIE,2015,B+
"SHAWSHANK REDEMPTION, THE",1994,A
SHAZAM!,2019,A
SHE DEVIL,1989,C+
SHE'S HAVING A BABY,1988,B
SHE'S OUT OF MY LEAGUE,2010,B
SHE'S SO LOVELY,1997,D+
SHE'S THE MAN,2006,B+
SHE'S THE ONE,1996,B+
"SHELTERING SKY, THE",1990,C+
SHERLOCK GNOMES,2018,B+
SHERLOCK HOLMES,2009,B
SHERLOCK HOLMES: A GAME OF SHADOWS,2011,A-
SHINE,1996,A
SHINING THROUGH,1992,B+
"SHIPPING NEWS, THE",2001,B
SHIRLEY VALENTINE,1989,A-
SHOOT 'EM UP,2007,B-
SHOOT TO KILL,1988,B+
SHOOTER,2007,B+
SHOPGIRL,2005,B-
SHORT CIRCUIT,1986,A-
SHORT CIRCUIT 2,1988,A-
SHORT TIME,1990,B
SHORTS,2009,C+
SHOUT,1991,A-
SHOW DOGS,2018,A-
SHOWGIRLS,1995,C
SHOWTIME,2002,B-
SHREK,2001,A
SHREK 2,2004,A
SHREK FOREVER AFTER,2010,A
SHREK THE THIRD,2007,B+
SHUT IN,2016,C
SHUTTER,2008,C
SHUTTER ISLAND,2010,C+
SIBLING RIVALRY,1990,B+
SICARIO,2015,A-
SICARIO: DAY OF THE SOLDADO,2018,B
"SICILIAN, THE",1987,C-
SIDE EFFECTS,2013,B
SIDEWAYS,2004,B
"SIEGE, THE",1998,B-
SIGNS,2002,B
"SILENCE OF THE LAMBS, THE",1991,A-
SILENT FALL,1994,B
SILENT HILL,2006,C
SILENT HILL: REVELATION 3D,2012,C
SILENT HOUSE,2012,F
SIMON BIRCH,1998,A
SIMONE,2002,B+
"SIMPLE FAVOR, A",2018,B+
"SIMPLE PLAN, A",1998,B-
"SIMPLE TWIST OF FATE, A",1994,B+
"SIMPLE WISH, A",1997,B
SIMPLY IRRESISTIBLE,1999,B-
"SIMPSONS MOVIE, THE",2007,A-
SIN CITY,2005,B
SIN CITY: A DAME TO KILL FOR,2014,B-
SINBAD: LEGEND OF THE SEVEN SEAS,2003,A-
SING,2016,A
SINGLE WHITE FEMALE,1992,B-
SINGLES,1992,A-
SINISTER,2012,C+
SINISTER 2,2015,B-
SISTER ACT,1992,A
SISTER ACT 2,1993,A-
"SISTERHOOD OF THE TRAVELING PANTS 2, THE",2008,A-
"SISTERHOOD OF THE TRAVELING PANTS, THE",2005,A-
SISTERS,2015,B
"SITTER, THE",2011,C+
SIX DAYS SEVEN NIGHTS,1998,B+
SIX DEGREES OF SEPERATION,1994,B+
"SIXTH MAN, THE",1997,A-
"SIXTH SENSE, THE",1999,A-
"SKELETON KEY, THE",2005,C+
SKIN DEEP,1989,B-
"SKULLS, THE",2000,B
SKY CAPTAIN AND THE WORLD OF TOMORROW,2004,B-
SKY HIGH,2005,A-
SKYFALL,2012,A
SKYLINE,2010,D-
SKYSCRAPER,2018,B+
SLACKERS,2002,C+
SLEEPERS,1996,A-
SLEEPING WITH THE ENEMY,1991,A-
SLEEPLESS,2017,B+
SLEEPLESS IN SEATTLE,1993,A
SLEEPOVER,2004,B+
SLEEPWALKERS,1992,C+
SLEEPY HOLLOW,1999,B-
SLENDER MAN,2018,D-
SLITHER,2006,B-
SLIVER,1993,C-
SMALL SOLDIERS,1998,B+
SMALL TIME CROOKS,2000,B
SMALLFOOT,2018,A-
"SMILE LIKE YOURS, A",1997,B-
SMILLA'S SENSE OF SNOW,1997,C+
SMOKIN' ACES,2007,B
"SMURFS 2, THE",2013,A-
"SMURFS, THE",2011,A-
SMURFS: THE LOST VILLAGE,2017,A
SNAKE EYES,1998,C+
SNAKES ON A PLANE,2006,B-
SNATCH,2001,B
SNATCHED,2017,B
SNEAKERS,1992,A-
SNIPER,1993,B-
SNITCH,2013,B
SNOW DAY,2000,B-
SNOW DOGS,2002,A-
SNOW FALLING ON CEDARS,1999,B
SNOW WHITE AND THE HUNTSMAN,2012,B
SNOWDEN,2016,A
"SNOWMAN, THE",2017,D
SO I MARRIED AN AXE MURDERER,1993,B
SOAPDISH,1991,A-
"SOCIAL NETWORK, THE",2010,B+
SOLARIS,2002,F
SOLDIER,1998,B+
SOLO: A STAR WARS STORY,2018,A-
"SOLOIST, THE",2009,B+
SOME KIND OF WONDERFUL,1987,A-
SOMEONE LIKE YOU,2001,B
SOMEONE TO WATCH OVER ME,1987,B+
SOMETHING BORROWED,2011,B
SOMETHING NEW,2006,B+
SOMETHING TO TALK ABOUT,1995,A-
SOMETHING WILD,1986,B-
SOMETHING'S GOTTA GIVE,2003,A-
SOMMERSBY,1993,A-
SON IN LAW,1993,A-
SON OF GOD,2014,A-
SON OF THE MASK,2005,B-
SON OF THE PINK PANTHER,1993,C+
"SORCERER'S APPRENTICE, THE",2010,B+
SORORITY BOYS,2002,C+
SOUL FOOD,1997,A+
SOUL MAN,1986,B
SOUL MEN,2008,A-
SOUL PLANE,2004,C+
SOUL SURFER,2011,A+
"SOUND OF THUNDER, A",2005,D-
SOURCE CODE,2011,B
"SOUTH PARK: BIGGER, LARGER & UNCUT",1999,B-
SOUTHPAW,2015,A
"SPACE BETWEEN US, THE",2017,A-
SPACE CHIMPS,2008,B+
SPACE COWBOYS,2000,A-
SPACE JAM,1996,A-
SPACEBALLS,1987,B-
SPACECAMP,1986,B+
SPANGLISH,2004,B+
SPARKLE,2012,A
SPARTAN,2004,B-
SPAWN,1997,C+
"SPECIALIST, THE",1994,B-
SPECIES,1995,B-
SPECIES 2,1998,C
SPECTRE,2015,A-
SPEECHLESS,1994,B
SPEED,1994,A
SPEED 2 CRUISE CONTROL,1997,B-
SPEED RACER,2008,A-
SPEED ZONE,1989,D+
SPHERE,1998,C-
SPIDER-MAN,2002,A-
SPIDER-MAN 2,2004,A-
SPIDER-MAN 3,2007,B+
SPIDER-MAN: FAR FROM HOME,2019,A
SPIDER-MAN: HOMECOMING,2017,A
SPIDER-MAN: INTO THE SPIDER-VERSE,2018,A+
"SPIDERWICK CHRONICLES, THE",2008,A-
"SPIRIT, THE",2008,C-
SPIRIT: STALLION OF THE CIMARRON,2002,A
"SPITFIRE GRILL, THE",1996,A
SPLICE,2010,D
SPLIT,2017,B+
SPLITTING HEIRS,1993,C-
"SPONGEBOB MOVIE: SPONGE OUT OF WATER, THE",2015,B
SPONGEBOB SQUAREPANTS,2004,B+
SPY,2015,B+
SPY GAME,2001,B+
SPY HARD,1996,C+
SPY KIDS,2001,A
SPY KIDS 2: THE ISLAND OF LOST DREAMS,2002,A-
SPY KIDS 3-D: GAME OVER,2003,B+
SPY KIDS: ALL THE TIME IN THE WORLD,2011,B+
"SPY NEXT DOOR, THE",2010,A-
"SPY WHO DUMPED ME, THE",2018,B
"SQUEEZE, THE",1987,C
ST. VINCENT,2014,A-
STAKEOUT,1987,A-
STAND AND DELIVER,1988,A
STAND BY ME,1986,A
STANLEY AND IRIS,1990,B
"STAR IS BORN, A",2018,A
STAR TREK,2009,A
STAR TREK 4 THE VOYAGE HOME,1986,A+
STAR TREK 5,1989,A-
STAR TREK 6,1991,A-
STAR TREK BEYOND,2016,A-
STAR TREK FIRST CONTACT,1996,A-
STAR TREK GENERATIONS,1994,B+
STAR TREK INSURRECTION,1998,B+
STAR TREK INTO DARKNESS,2013,A
STAR TREK: NEMESIS,2002,A-
STAR WARS EPISODE 1-THE PHANTOM MENACE,1999,A-
STAR WARS EPISODE 2-ATTACK OF THE CLONES,2002,A-
STAR WARS EPISODE III: REVENGE OF THE SITH,2005,A-
STAR WARS: EPISODE VII - THE FORCE AWAKENS,2015,A
STAR WARS: THE CLONE WARS,2008,B-
STAR WARS: THE LAST JEDI,2017,A
"STAR, THE",2017,A
STARDUST,2007,A-
STARGATE,1994,B+
STARSHIP TROOPERS,1997,C+
STARSKY AND HUTCH,2004,B
STATE OF PLAY,2009,A-
STAY,2005,C-
STAY ALIVE,2006,C+
STAY TUNED,1992,B-
STEAL BIG STEAL LITTLE,1995,B+
STEALING BEAUTY,1996,B-
STEALING HARVARD,2002,C
STEALING HOME,1988,B
STEALTH,2005,B-
STEEL,1997,B
STEEL MAGNOLIAS,1989,A
STELLA,1990,A-
STEP BROTHERS,2008,B
STEP UP,2006,A-
STEP UP 2 THE STREETS,2008,A-
STEP UP 3-D,2010,B+
STEP UP REVOLUTION,2012,B+
STEP UP: ALL IN,2014,B+
"STEPFATHER, THE",2009,B-
"STEPFORD WIVES, THE",2004,C+
STEPHEN KING'S THINNER,1996,B-
STEPMOM,1998,A
STEVE JOBS,2015,A-
STICK IT,2006,B+
STIGMATA,1999,B-
STIR OF ECHOES,1999,B
STOMP THE YARD,2007,A-
STONE COLD,1991,B+
STOP OR MY MOM WILL SHOOT,1992,B+
STORKS,2016,A-
"STORY OF US, THE",1999,B-
STRAIGHT OUTTA COMPTON,2015,A
STRAIGHT TALK,1992,A-
STRANGE DAYS,1995,B
STRANGE MAGIC,2015,B-
"STRANGER AMONG US, A",1992,B+
STRANGER THAN FICTION,2006,B+
"STRANGERS, THE",2008,B-
STRANGERS: PREY AT NIGHT,2018,C
STRAW DOGS,2011,C
STREET FIGHTER,1994,B-
STREETS OF GOLD,1986,B
STRICTLY BUSINESS,1991,B+
STRIKING DISTANCE,1993,B
STRIPTEASE,1996,B-
STUART LITTLE,1999,A-
STUART LITTLE 2,2002,A
STUBER,2019,B
STUCK ON YOU,2003,B-
"STUPIDS, THE",1996,C+
"SUBSTITUTE, THE",1996,B
SUBURBICON,2017,D-
SUCKER PUNCH,2011,B-
SUDDEN DEATH,1995,B+
SUGAR AND SPICE,2001,D+
SUGAR HILL,1994,C+
SUICIDE SQUAD,2016,B+
SULLY,2016,A
"SUM OF ALL FEARS, THE",2002,A-
SUMMER CATCH,2001,B+
SUMMER OF SAM,1999,D-
SUMMER SCHOOL,1987,A-
"SUN IS ALSO A STAR, THE",2019,B-
SUNSET,1988,B-
SUPER 8,2011,B+
SUPER MARIO BROS.,1993,B+
SUPER TROOPERS 2,2018,B+
"SUPER, THE",1991,B-
SUPERBABIES: BABY GENIUSES 2,2004,B-
SUPERBAD,2007,A-
SUPERCROSS,2005,A-
SUPERFLY,2018,B+
SUPERHERO MOVIE,2008,C+
SUPERMAN 4,1987,C
SUPERMAN RETURNS,2006,B+
SUPERNOVA,1999,D
SUPERSTAR,1999,C+
SURF'S UP,2007,A-
SURRENDER,1987,B-
SURROGATES,2009,C
SURVIVING CHRISTMAS,2004,C+
SUSPECT,1987,B+
SUSPECT ZERO,2004,C-
SWEET HEARTS DANCE,1988,B
SWEET HOME ALABAMA,2002,A-
SWEET LIBERTY,1986,B-
SWEET NOVEMBER,2001,B
"SWEETEST THING, THE",2002,C+
SWIMFAN,2002,B-
SWING KIDS,1993,A-
SWING VOTE,2008,B
SWITCH,1991,B
"SWITCH, THE",2010,B
SWITCHBACK,1997,B-
SWITCHING CHANNELS,1988,B
SWORDFISH,2001,B
SYDNEY WHITE,2007,A-
SYRIANA,2005,C
TAG,2018,B+
TAI PAN,1986,C+
TAKE ME HOME TONIGHT,2011,C
TAKE THE LEAD,2006,A-
TAKEN,2009,A-
TAKEN 2,2012,B+
TAKEN 3,2015,B+
TAKERS,2010,B
TAKING CARE OF BUSINESS,1990,A-
TAKING LIVES,2004,B
"TAKING OF PELHAM 123, THE",2009,B+
"TALE OF DESPEREAUX, THE",2008,B
"TALENTED MR. RIPLEY, THE",1999,C+
TALL TALE,1995,A-
TALLADEGA NIGHTS: BALLAD OF RICKY BOBBY,2006,B
TAMMY,2014,C+
TANGLED,2010,A+
TANGO AND CASH,1989,B+
TANK GIRL,1995,B
TAP,1989,A
TARZAN,1999,A
TARZAN AND THE LOST CITY,1998,B
TAXI,2004,B+
TEA WITH MUSSOLINI,1999,A-
TEACHER'S PET,2004,B-
TEAM AMERICA: WORLD POLICE,2004,B
TEARS OF THE SUN,2003,A-
TED,2012,A-
TED 2,2015,B+
TEEN TITANS GO! TO THE MOVIES,2018,B+
TEENAGE MUTANT NINJA TURTLES,2014,B
TEENAGE MUTANT NINJA TURTLES: OUT OF THE SHADOWS,2016,A-
"TEMP, THE",1993,C+
TEN THINGS I HATE ABOUT YOU,1999,B+
TENACIOUS D IN THE PICK OF DESTINY,2006,B-
TEQUILA SUNRISE,1988,B+
TERMINAL VELOCITY,1994,B
"TERMINAL, THE",2004,B+
TERMINATOR 2,1991,A+
TERMINATOR 3: RISE OF THE MACHINES,2003,B+
TERMINATOR SALVATION,2009,B+
TERMINATOR: GENISYS,2015,B+
TEXAS CHAINSAW 3D,2013,C+
"TEXAS CHAINSAW MASSACRE, THE",2003,B+
TEXAS CHAINSAW MASSACRE: THE BEGINNING,2006,C+
TEXASVILLE,1990,C+
THANK YOU FOR YOUR SERVICE,2017,A-
THAT AWKWARD MOMENT,2014,B
THAT DARN CAT,1997,A-
THAT OLD FEELING,1997,B-
THAT THING YOU DO,1996,A-
THAT'S LIFE,1986,B
THAT'S MY BOY,2012,B-
THELMA AND LOUISE,1991,B+
THERE'S SOMETHING ABOUT MARY,1998,B+
"THIN RED LINE, A",1998,C
"THING, THE",2011,B-
THINGS CHANGE,1988,B+
THINK LIKE A MAN,2012,A
THINK LIKE A MAN TOO,2014,A-
"THIRTEENTH FLOOR, THE",1999,D+
THIS BOY'S LIFE,1993,A-
THIS CHRISTMAS,2007,A
THIS IS 40,2012,B-
THIS IS MY LIFE,1992,B
THIS IS THE END,2013,B+
THIS IS WHERE I LEAVE YOU,2014,B+
THIS MEANS WAR,2012,A-
THOMAS AND THE MAGIC RAILROAD,2000,B
"THOMAS CROWN AFFAIR, THE",1999,B+
THOR,2011,B+
THOR: RAGNAROK,2017,A
THOR: THE DARK WORLD,2013,A-
"THOUSAND ACRES, A",1997,B-
"THOUSAND WORDS, A",2012,B-
THREE AMIGOS,1986,B
THREE FUGITIVES,1989,B
THREE KINGS,1999,B
THREE MEN AND A BABY,1987,A-
THREE MEN AND A LITTLE LADY,1990,A-
"THREE MUSKETEERS, THE",2011,B
"THREE MUSKETEERS, THE",1993,A-
THREE O'CLOCK HIGH,1987,B+
"THREE STOOGES, THE",2012,B-
THREE TO TANGO,1999,C
THREESOME,1994,B+
THROW MOMMA FROM THE TRAIN,1987,C+
THUNDERBIRDS,2004,B+
THUNDERHEART,1992,B+
"TIE THAT BINDS, THE",1995,C
"TIGGER MOVIE, THE",2000,A
TIL THERE WAS YOU,1997,C-
TIM BURTON'S THE CORPSE BRIDE,2005,B+
TIME COP,1994,B+
"TIME MACHINE, THE",2002,C+
"TIME TO KILL, A",1996,A
"TIME TRAVELER'S WIFE, THE",2009,B
TIMELINE,2003,C+
TIN CUP,1996,B
TIN MEN,1987,B+
TITAN A.E.,2000,A-
TITANIC,1997,A+
TMNT,2007,A-
TO DIE FOR,1995,C+
TO GILLIAN ON HER 37TH BIRTHDAY,1996,B+
TO WONG FOO THANKS FOR EVERYTHING,1995,B+
TOM AND JERRY THE MOVIE,1993,A-
TOMB RAIDER,2018,B
TOMBSTONE,1993,A-
TOMCATS,2001,C+
TOMMY BOY,1995,A-
TOMORROW NEVER DIES,1997,A-
TOMORROWLAND,2015,B
TOOTH FAIRY,2010,A-
TOP DOG,1995,B+
TOP GUN,1986,A
TORCH SONG TRILOGY,1988,A-
TORQUE,2004,B-
TOTAL RECALL,1990,A-
TOTAL RECALL,2012,C+
TOUGH GUYS,1986,B+
"TOURIST, THE",2010,B
TOWER HEIST,2011,B
TOWN AND COUNTRY,2001,C-
"TOWN, THE",2010,B+
TOY SOLDIERS,1991,A-
TOY STORY,1995,A
TOY STORY 2,1999,A+
TOY STORY 3,2010,A
TOY STORY 4,2019,A
TOYS,1992,C+
TRAFFIC,2000,B
TRAINING DAY,2001,B+
TRAINWRECK,2015,A-
TRANSCENDENCE,2014,C+
TRANSFORMERS,2007,A
TRANSFORMERS: AGE OF EXTINCTION,2014,A-
TRANSFORMERS: DARK OF THE MOON,2011,A
TRANSFORMERS: REVENGE OF THE FALLEN,2009,B+
TRANSFORMERS: THE LAST KNIGHT,2017,B+
"TRANSPORTER 2, THE",2005,B+
TRANSPORTER 3,2008,B-
"TRANSPORTER REFUELED, THE",2015,B-
"TRANSPORTER, THE",2002,B+
TRAPPED,2002,B-
TRAPPED IN PARADISE,1994,C+
TREASURE PLANET,2002,A-
TREMORS,1990,B-
TRIAL AND ERROR,1997,B
TRIAL BY JURY,1994,C+
TRIPLE 9,2016,C+
TRISTAN AND ISOLDE,2006,B+
TROLLS,2016,A
TRON: LEGACY,2010,B+
TROOP BEVERLY HILLS,1989,B
TROPIC THUNDER,2008,B
TROUBLE WITH THE CURVE,2012,B+
TROY,2004,B
TRUE BELIEVER,1989,A-
TRUE CRIME,1999,B-
TRUE GRIT,2010,B+
TRUE IDENTITY,1991,B-
TRUE LIES,1994,A
TRUE ROMANCE,1993,B-
"TRUMAN SHOW, THE",1998,B
"TRUTH ABOUT CATS AND DOGS, THE",1996,A-
"TRUTH ABOUT CHARLIE, THE",2002,D
TRUTH OR DARE,2018,B-
TUCK EVERLASTING,2002,B+
TUCKER,1988,A
TUPAC: RESURRECTION,2003,A-
TURBO,2013,A
TURBO A POWER RANGERS MOVIE,1997,B
TURBULENCE,1997,B-
TURN IT UP,2000,D-
TURNER AND HOOCH,1989,A-
"TUXEDO, THE",2002,B
TWILIGHT,1998,C+
"TWILIGHT SAGA: BREAKING DAWN- PART 1, THE",2011,B+
"TWILIGHT SAGA: BREAKING DAWN- PART 2, THE",2012,A
"TWILIGHT SAGA: ECLIPSE, THE",2010,A
TWINS,1988,A-
TWISTED,2004,C
TWISTER,1996,A-
TWO BROTHERS,2004,A-
TWO CAN PLAY THAT GAME,2001,A-
TWO FOR THE MONEY,2005,B+
TWO IF BY SEA,1996,C+
"TWO JAKES, THE",1990,C+
TWO WEEKS NOTICE,2002,B+
TYLER PERRY PRESENTS PEEPLES,2013,B-
TYLER PERRY'S A MADEA CHRISTMAS,2013,A-
TYLER PERRY'S A MADEA FAMILY FUNERAL,2019,A-
TYLER PERRY'S ACRIMONY,2018,A-
TYLER PERRY'S BOO 2!  A MADEA HALLOWEEN,2017,A-
TYLER PERRY'S DADDY'S LITTLE GIRLS,2007,A-
TYLER PERRY'S GOOD DEEDS,2012,A
TYLER PERRY'S I CAN DO BAD ALL BY MYSELF,2009,A
TYLER PERRY'S MADEA GOES TO JAIL,2009,A
TYLER PERRY'S MADEA'S BIG HAPPY FAMILY,2011,A
TYLER PERRY'S MADEA'S WITNESS PROTECTION,2012,A-
TYLER PERRY'S MEET THE BROWNS,2008,A
TYLER PERRY'S SINGLE MOMS CLUB,2014,A-
TYLER PERRY'S TEMPTATION,2013,A-
TYLER PERRY'S THE FAMILY THAT PREYS,2008,A
TYLER PERRY'S WHY DID I GET MARRIED TOO,2010,A
TYLER PERRY'S WHY DID I GET MARRIED?,2007,A+
U-571,2000,B+
U-TURN,1997,C+
U.S. MARSHALS,1998,A-
"UGLY TRUTH, THE",2009,A-
UGLYDOLLS,2019,B+
ULEE'S GOLD,1997,B+
ULTRAVIOLET,2006,D+
UNACCOMPANIED MINORS,2006,B+
"UNBORN, THE",2009,B-
UNBREAKABLE,2000,C
UNBROKEN,2014,A-
UNBROKEN: PATH TO REDEMPTION,2018,A
UNCLE BUCK,1989,B+
UNCLE DREW,2018,A
UNDER SIEGE,1992,A-
UNDER SIEGE 2,1995,A-
UNDER THE CHERRY MOON,1986,B+
UNDER THE TUSCAN SUN,2003,B+
UNDERCLASSMAN,2005,B
UNDERCOVER BLUES,1993,B+
UNDERCOVER BROTHER,2002,B+
UNDERDOG,2007,A-
UNDERWORLD,2003,B+
UNDERWORLD AWAKENING,2012,A-
UNDERWORLD: BLOOD WARS,2017,B+
UNDERWORLD: EVOLUTION,2006,B+
UNDERWORLD: RISE OF THE LYCANS,2009,B+
UNDISCOVERED,2005,C-
UNDISPUTED,2002,B
UNFAITHFUL,2002,C+
UNFINISHED BUSINESS,2015,B-
UNFORGETTABLE,1996,C+
UNFORGETTABLE,2017,C
UNFORGIVEN,1992,B+
UNFRIENDED,2015,C
UNFRIENDED: DARK WEB,2018,C
"UNINVITED, THE",2009,B
UNITED 93,2006,A-
UNIVERSAL SOLDIER,1992,B
UNIVERSAL SOLDIER: THE RETURN,1999,C-
UNKNOWN,2011,B+
UNLAWFUL ENTRY,1992,B
UNLEASHED,2005,A-
UNPLANNED,2019,A+
UNSANE,2018,B-
UNSTOPPABLE,2010,A-
UNSTRUNG HEROES,1995,B+
UNTAMED HEART,1993,B+
"UNTOUCHABLES, THE",1987,A-
UNTRACEABLE,2008,B-
UP,2009,A+
UP CLOSE AND PERSONAL,1996,A-
UP IN THE AIR,2009,B
"UPSIDE OF ANGER, THE",2005,B
"UPSIDE, THE",2019,A
UPTOWN GIRLS,2003,A-
URBAN LEGEND,1998,C
URBAN LEGENDS: FINAL CUT,2000,D+
US,2019,B
USED PEOPLE,1993,A-
V FOR VENDETTA,2006,B+
V.I. WARSHAWSKI,1991,B
VACANCY,2007,B-
VACATION,2015,B
VALENTINE,2001,D+
VALENTINE'S DAY,2010,B
VALERIAN AND THE CITY OF A THOUSAND PLANETS,2017,B-
VALIANT,2005,B
VALKYRIE,2008,B+
VAMP,1986,C-
VAMPIRE ACADEMY,2014,B-
